run,random_seed,year,Anchor Handling Tug,Cable Laying Vessel,Crew Transfer Vessel 1,Crew Transfer Vessel 2,Crew Transfer Vessel 3,Diving Support Vessel,Tugboat 1,Tugboat 2
21,21,1999,4583248.041782407,10300101.116393518,1165378.9498297453,1165382.5519654064,1165381.5389080197,0.0,5819662.556381306,5116998.885287946
21,21,2000,5204013.716893012,18085694.19649259,1171792.864359173,1171797.3005585843,1171793.091958714,0.0,4123051.149888199,3413530.214107591
21,21,2001,4326095.635879629,54980807.06879861,1168610.7699621564,1168612.1815116736,1168611.2665450352,3113056.8439927083,10703746.879927456,11001116.069462527
21,21,2002,1008596.6471064816,18819053.74703935,1168598.365563272,1168603.4671523357,1168602.7748937476,550283.6564183892,8440824.752535041,9274978.965418993
21,21,2003,4178974.474423473,8064531.561134259,1168592.3018558202,1168597.2223211993,1168594.475628298,1463166.299621261,8426809.41124904,8344399.731595449
21,21,2004,3466124.242939815,2590948.4533032407,1171786.1200071983,1171788.320516949,1171789.7391291473,1054601.4154712704,6642822.108239554,6999751.346816521
21,21,2005,3610058.733101852,3019315.1958749997,1168590.5681539173,1168592.440518227,1168588.329492932,1232299.739690985,5645960.297198468,6005600.124354946
21,21,2006,3280279.847800926,2596899.580905093,1168591.647283761,1168597.3640154197,1168597.1116022759,1215141.257894694,9449562.22300144,8925461.337989163
21,21,2007,1677809.7178240742,10976126.323011573,1168583.5410859701,1168585.5911207169,1168588.416756465,1440351.0196161196,5358314.412419587,5966293.409107561
21,21,2008,2647044.1537037035,27395429.22076296,1171791.3316170296,1171796.4360052268,1171798.5187286283,1510114.0544080255,3815426.9815544914,4036145.2480505193
21,21,2009,934363.5575231481,13657486.137958333,1168591.9347903994,1168592.8627593983,1168593.5772461235,1968318.8760977543,4650217.670641431,4621202.735859667
21,21,2010,4147930.1491406225,0.0,1168597.1474733732,1168601.2774914808,1168597.9711842057,2467032.032071149,6032685.418323166,6677263.76418264
21,21,2011,2219455.998330525,0.0,1168587.6484054686,1168593.5136274695,1168591.6219750384,1100654.253793268,5334247.916009444,4943390.0071451785
21,21,2012,2599671.7790989424,9494532.813680556,1171794.1050287648,1171795.6917436717,1171794.7603087446,1644646.6267285715,4915789.869711732,5262054.527635244
21,21,2013,2014768.1239583334,17137250.889646888,1168582.299374632,1168588.9254205443,1168585.42004248,1263465.928773599,4703497.391624483,4954903.751529409
21,21,2014,3463331.095486111,9305972.507976852,1168583.4693356913,1168587.588388734,1168591.1793457896,1636663.4204446508,5731594.779108288,6795405.955673371
21,21,2015,1174959.9077546296,5753992.313037037,1168607.084905021,1168607.9665421066,1168608.151094724,2944594.960402039,5230171.028693123,5293341.072007328
21,21,2016,2053694.0131944444,4567664.262286732,1171803.2145205014,1171808.1636488247,1171805.5966804884,2775719.977993408,9646761.917545538,8248209.415127804
21,21,2017,15552.998611111108,16267549.657780092,1168589.46838625,1168592.3264661336,1168592.135645196,1848089.6877592523,5652107.573528908,5908787.225989162
21,21,2018,4610978.686712299,0.0,1168576.3546074128,1168587.4315337085,1168584.5853827177,1899197.0298650535,4199032.608336603,4513338.254900255
21,21,2019,2670521.955436617,5026854.959365741,1168589.3176038002,1168589.4915676361,1168594.9150461087,1586421.4760912599,5532416.874805732,4550040.768538313
22,22,1999,799203.5989583334,3307629.463636574,1165375.6914981555,1165377.5359532211,1165380.540162368,0.0,6349263.742084911,5504522.424669792
22,22,2000,3725985.797664927,10887764.515552176,1171795.9080959652,1171800.127921882,1171799.080279271,0.0,3988556.577520499,4629689.333530403
22,22,2001,5677444.2827488,15345600.830838796,1168608.8443268773,1168610.0656521274,1168611.8208161788,3435259.7073213966,9242421.820328528,9321174.85105182
22,22,2002,4452565.002078844,4927179.154706019,1168592.6708967327,1168599.7861480871,1168599.34719868,135114.15013184425,7921696.817321567,7813977.316296195
22,22,2003,3388115.06112174,7272530.724953814,1168587.8291887639,1168589.4601054143,1168596.00307577,2111197.915288962,4067466.696105116,4738231.728161939
22,22,2004,2985458.626273148,10072222.37307722,1171795.301016619,1171797.324763297,1171793.5456712202,1475325.6013729044,4356204.464389318,3538704.669102909
22,22,2005,1832782.6116898148,3756448.322502315,1168586.2950334381,1168586.1031201533,1168590.4845738537,1345072.068253761,7450120.914034892,8123808.601852756
22,22,2006,0.0,16586387.180854166,1168598.4620377822,1168599.261039626,1168602.0318011758,1705038.8384960862,6647313.340416536,6427083.2866905965
22,22,2007,3246060.9716435187,11641896.162458334,1168586.711232419,1168590.947723104,1168588.3449130566,1243274.763589281,8244908.722456935,7522342.510520162
22,22,2008,1163219.7694444444,5846700.943918982,1171795.7935640395,1171794.4938794002,1171797.0695441396,1427080.1406563844,4464229.350464925,4523261.7816415625
22,22,2009,1876123.161111111,7564591.0780593455,1168587.3056409063,1168594.2188185903,1168589.9588229216,954318.083354958,7240517.946197108,6553953.339295714
22,22,2010,1214963.3623382081,2973193.9569606483,1168594.6691455054,1168599.6411782391,1168597.576542916,1814655.2031764546,7296691.2986485455,7437388.658982329
22,22,2011,3280433.7258306844,9373854.999604167,1168588.885090493,1168588.9636128068,1168591.0533789243,1537123.2235896443,6312962.1429078095,7523264.577560593
22,22,2012,1295902.3988425927,28381332.276900463,1171794.486339627,1171796.0931289168,1171794.7824143597,2096706.8734154147,7505088.544531378,6751009.364342231
22,22,2013,1923834.9780092593,24809482.941492178,1168579.8298877736,1168589.230553098,1168584.8265190464,1366379.0774713017,5721691.609742832,5336037.915009082
22,22,2014,5363036.934493183,4778610.314833333,1168587.218233772,1168588.7809232825,1168590.8645059513,2049185.9402356565,5453628.248042732,6039095.967582192
22,22,2015,3881457.2816078514,10325301.154203314,1168607.7669417947,1168607.232606832,1168606.6973080179,2465933.8111161,5460523.138370694,6301239.976211911
22,22,2016,1875251.3621527778,4002074.694196759,1171802.2023648461,1171807.1180618806,1171808.0149772984,2673076.507127065,4055688.2498112894,5099722.250283066
22,22,2017,931963.370949074,7944649.277717592,1168588.450737853,1168594.5320277514,1168588.2109827797,1275772.5479058165,7843958.762010774,7025951.715208909
22,22,2018,2637962.437587,8922532.047264308,1168577.18095123,1168582.5811780717,1168582.8968128941,1504564.254018305,6632318.051626436,6888360.207812017
22,22,2019,1690164.941317919,8304843.22975463,1168588.5122259615,1168593.4946457269,1168589.2171940808,1737918.8051010198,4648336.539402478,5578417.605506928
23,23,1999,1018219.308912037,12971919.389910925,1165373.8558697628,1165374.1986797664,1165378.4452269573,0.0,8658274.825295454,7338188.792478036
23,23,2000,2960961.67337963,5194703.554560185,1171788.7398779502,1171792.9111192138,1171791.7652310913,0.0,6201316.459258391,6358610.584559135
23,23,2001,1240585.4619212963,27396951.01256713,1168611.0182824065,1168610.9852555476,1168611.408272017,3111908.239544353,5869592.843389199,4845822.309654933
23,23,2002,3115798.0494212965,16541753.723840278,1168599.058488436,1168602.7360865003,1168603.2699173223,411854.95778383047,7326015.6159605095,6884648.17541851
23,23,2003,351875.4166666666,11023157.537347222,1168592.2760252063,1168598.8041953067,1168595.086137705,2219825.592051793,5262010.3940362325,5841836.992710646
23,23,2004,5869802.871191363,14690687.161788825,1171790.2126737174,1171794.159454386,1171793.708743112,948281.87990961,6690113.181397849,6717700.117730299
23,23,2005,2504094.91147963,9118693.00525987,1168584.7098970206,1168586.1694083684,1168586.9749163464,1752689.0082037265,5907791.930491757,5534187.710615189
23,23,2006,2346289.965509259,17574299.484782405,1168592.5155251345,1168595.0605342533,1168594.442717917,1787663.6453746285,8974640.124599546,9699860.83558192
