run,random_seed,year,operations,port_fees,equipment_cost,total_labor_cost,materials_cost,OpEx
17,17,2018,30758999.999999996,300000.0,28731481.605501007,0,3533973.3,63324454.905501
17,17,2019,30758999.999999996,300000.0,22658883.95482175,0,1599419.6,55317303.554821745
18,18,1999,30758999.999999996,300000.0,28710843.797972593,0,2413547.7,62183391.49797259
18,18,2000,30843271.23287671,300000.0,15321455.642792707,0,1365842.5,47830569.37566942
18,18,2001,30758999.999999996,300000.0,37317528.23230452,0,1403180.4,69779708.63230452
18,18,2002,30758999.999999996,300000.0,31223749.13966389,0,1683631.0,63966380.13966389
18,18,2003,30758999.999999996,300000.0,23449786.655461606,0,1672143.3,56180929.9554616
18,18,2004,30843271.23287671,300000.0,55236523.10326963,0,2995452.4,89375246.73614635
18,18,2005,30758999.999999996,300000.0,29053837.44527002,0,2202828.6,62315666.04527002
18,18,2006,30758999.999999996,300000.0,27497758.620674588,0,2039030.2,60595788.82067458
18,18,2007,30758999.999999996,300000.0,22822607.363528464,0,2861250.5,56742857.86352846
18,18,2008,30843271.23287671,300000.0,49819126.4617595,0,2352355.1,83314752.7946362
18,18,2009,30758999.999999996,300000.0,23906463.816570666,0,1789773.1,56755236.91657066
18,18,2010,30758999.999999996,300000.0,31348217.150430556,0,1900720.0,64307937.15043055
18,18,2011,30758999.999999996,300000.0,25576408.445001043,0,3728024.2,60363432.64500104
18,18,2012,30843271.23287671,300000.0,28295445.164411202,0,4108935.2,63547651.597287916
18,18,2013,30758999.999999996,300000.0,32430323.515387844,0,2949313.2,66438636.71538784
18,18,2014,30758999.999999996,300000.0,18443419.747497667,0,1571741.1,51074160.847497664
18,18,2015,30758999.999999996,300000.0,34369131.732038446,0,2275224.1999999997,67703355.93203844
18,18,2016,30843271.23287671,300000.0,42992051.089591764,0,4072477.9,78207800.22246848
18,18,2017,30758999.999999996,300000.0,19610840.097415082,0,2600612.6,53270452.697415076
18,18,2018,30758999.999999996,300000.0,33703081.06125759,0,3680308.7,68442389.76125759
18,18,2019,30758999.999999996,300000.0,32199108.066322904,0,1977209.3,65235317.3663229
19,19,1999,30758999.999999996,300000.0,30802687.184667602,0,2964160.2,64825847.3846676
19,19,2000,30843271.23287671,300000.0,31693253.140722398,0,2276509.0,65113033.37359911
19,19,2001,30758999.999999996,300000.0,55568716.66986107,0,2169742.6,88797459.26986107
19,19,2002,30758999.999999996,300000.0,29522349.730752032,0,2146126.7,62727476.43075203
19,19,2003,30758999.999999996,300000.0,19838880.546180937,0,1369787.6,52267668.146180935
19,19,2004,30843271.23287671,300000.0,15107419.976220662,0,1093083.6,47343774.80909737
19,19,2005,30758999.999999996,300000.0,26070993.963673096,0,3156047.2,60286041.163673095
19,19,2006,30758999.999999996,300000.0,44844246.430033356,0,2500581.1,78403827.53003335
19,19,2007,30758999.999999996,300000.0,16373661.569560813,0,1085907.5000000002,48518569.06956081
19,19,2008,30843271.23287671,300000.0,38263712.89898519,0,3161975.9,72568960.0318619
19,19,2009,30758999.999999996,300000.0,20221483.96277973,0,3165043.9,54445527.86277973
19,19,2010,30758999.999999996,300000.0,32671929.072428674,0,3300601.2,67031530.27242867
19,19,2011,30758999.999999996,300000.0,45289255.44688672,0,4117796.1999999997,80466051.64688672
19,19,2012,30843271.23287671,300000.0,19527931.90103208,0,1995752.6,52666955.73390879
19,19,2013,30758999.999999996,300000.0,28324564.321387146,0,2423433.8000000003,61806998.12138714
19,19,2014,30758999.999999996,300000.0,22653238.34920767,0,2471862.4,56184100.74920767
19,19,2015,30758999.999999996,300000.0,48389347.14941541,0,1788074.7999999998,81236421.94941542
19,19,2016,30843271.23287671,300000.0,48808957.0926141,0,1967047.0,81919275.3254908
19,19,2017,30758999.999999996,300000.0,48533794.47168711,0,2997795.2,82590589.67168711
19,19,2018,30758999.999999996,300000.0,36925224.60854653,0,2657860.0,70642084.60854653
19,19,2019,30758999.999999996,300000.0,41210685.49855181,0,2969348.9,75239034.3985518
20,20,1999,30758999.999999996,300000.0,20316734.043315377,0,1079459.0,52455193.04331537
20,20,2000,30843271.23287671,300000.0,34149361.96050969,0,2561484.2,67854117.3933864
20,20,2001,30758999.999999996,300000.0,66141957.43186813,0,2433229.5,99634186.93186814
20,20,2002,30758999.999999996,300000.0,21088055.787882566,0,2624427.8,54771483.58788256
20,20,2003,30758999.999999996,300000.0,39014682.86857957,0,3982813.7,74056496.56857957
20,20,2004,30843271.23287671,300000.0,30316239.95703124,0,3161838.9,64621350.08990795
20,20,2005,30758999.999999996,300000.0,26144658.15205734,0,1542843.6,58746501.752057336
20,20,2006,30758999.999999996,300000.0,27225588.22350657,0,2846103.6,61130691.823506564
20,20,2007,30758999.999999996,300000.0,28626925.355655205,0,2302818.9,61988744.2556552
20,20,2008,30843271.23287671,300000.0,32388606.116556946,0,2549418.6999999997,66081296.049433656
20,20,2009,30758999.999999996,300000.0,39306672.446600735,0,2646836.4,73012508.84660074
20,20,2010,30758999.999999996,300000.0,26641203.35887138,0,3314845.1,61015048.45887138
20,20,2011,30758999.999999996,300000.0,34750848.888229005,0,2845296.1999999997,68655145.088229
20,20,2012,30843271.23287671,300000.0,29997526.671143115,0,3378282.7,64519080.60401983
20,20,2013,30758999.999999996,300000.0,22521018.337554377,0,2808783.9,56388802.23755437
20,20,2014,30758999.999999996,300000.0,46105000.4751838,0,2431159.5,79595159.9751838
20,20,2015,30758999.999999996,300000.0,27566813.380912174,0,2465097.1,61090910.48091217
20,20,2016,30843271.23287671,300000.0,45966422.42726023,0,1894953.9000000001,79004647.56013694
