run,random_seed,year,Cable Laying Vessel,Crew Transfer Vessel 1,Crew Transfer Vessel 2,Crew Transfer Vessel 3,Heavy Lift Vessel
28,28,2004,0.0,1171777.3769303754,1171777.9850396402,1171776.1107693661,16280185.185185185
28,28,2005,16838446.39752946,1168573.3669893327,1168580.4001000768,1168578.6983697866,51033876.7331504
28,28,2006,7596058.907969907,1168575.3844089808,1168572.8416682768,1168575.2155677958,16344324.074074075
28,28,2007,8940837.891842593,1168579.7699472054,1168571.8133993438,1168575.7473327788,38186652.348240405
28,28,2008,15703526.070428554,1173388.6883191133,1173390.210573712,1173385.9093643643,39878901.47587475
28,28,2009,0.0,1166972.1833267447,1166972.344026906,1166974.713254712,54752441.516515635
28,28,2010,19671263.329984263,1168583.3700129075,1168586.700279892,1168584.3109897452,28630322.750248183
28,28,2011,9135583.797342593,1168575.1105569077,1168575.5834661883,1168578.8917330054,25268911.070809692
28,28,2012,5153732.329916666,1172570.9344819991,1172574.2119681174,1171774.4847546448,39637628.40536594
28,28,2013,16661970.381543212,1167774.8437766796,1167910.5560243046,1168574.6720080303,34789872.90991099
28,28,2014,8448725.417074073,1168580.678182043,1168447.8611393273,1168582.2853542212,33051387.933290273
28,28,2015,0.0,1168583.174068128,1168583.1459478827,1168583.0739584228,38870034.199201725
28,28,2016,5533862.001152777,1171782.7897018008,1171782.7098850703,1171781.4944192835,24618902.777777776
28,28,2017,11947847.808972687,1168578.9784834082,1168580.2449146868,1168583.7385761717,22035498.919112448
28,28,2018,17705383.398155093,1168584.2459484967,1168585.3952701897,1168585.3671507987,44894527.024916336
28,28,2019,0.0,1168580.0102781318,1168583.377504398,1168579.3119951051,24944703.703703705
28,28,2020,7175756.334085648,1171782.0507469296,1171785.4177598213,1171786.2403480182,20599861.473498244
29,29,2000,4851863.336247685,1168558.067696876,1168560.3893701883,1168562.3752327985,10195953.703703703
29,29,2001,0.0,1168570.8611233162,1168574.2540726247,1168575.8563771767,58459145.54651817
29,29,2002,18290190.02910254,1168585.1380571893,1168585.4884208424,1168585.1300964411,24593453.703703705
29,29,2003,18421830.834984418,1168584.9809909395,1168580.2455354822,1168580.9570176154,40619177.70039626
29,29,2004,2867915.941655093,1171779.5854505082,1171779.3738628041,1171778.2771207,24697781.757359385
29,29,2005,0.0,1168584.9553142635,1168582.1757579222,1168579.184274086,17793587.962962963
29,29,2006,16969070.92420833,1168581.0989866527,1168579.333586203,1168580.5822363175,34700559.85782063
29,29,2007,11912049.804010076,1168573.569006234,1168575.7383722677,1168577.5399529564,16428546.248838605
29,29,2008,0.0,1173381.3545144843,1173379.9981109085,1173382.6654641165,49059082.07683819
29,29,2009,2982075.9869930553,1166980.9123882367,1166980.2483322138,1166982.6869093662,22200109.467724774
29,29,2010,5440810.035986111,1168585.116856036,1168585.742900416,1168583.9808362145,16175407.407407407
29,29,2011,10404444.034256944,1168574.7088121388,1168576.0319556552,1168572.800854274,28838377.794669487
29,29,2012,4109261.983085648,1172575.8316872062,1172575.4701636184,1172574.9372792537,18792443.747077383
29,29,2013,8068023.522030093,1167780.457839734,1167777.0638611496,1167779.8434824846,50507493.95097559
29,29,2014,7587562.082256944,1168580.2298142228,1168579.7733015418,1168577.3951643535,27487611.111111112
29,29,2015,3530221.7335624998,1168567.0093654061,1168568.530942744,1168571.792467364,47304337.96296296
29,29,2016,25790441.458572578,1171781.5516080922,1171782.4193544716,1171782.5808884557,44596855.63358223
29,29,2017,12423297.08112963,1168577.7364200791,1168577.7301890112,1168580.6153406024,33245842.592592593
29,29,2018,14221578.785085648,1168587.1956503738,1168586.575126594,1168584.1254034336,8262018.518518519
29,29,2019,9948849.003462767,1168582.203513388,1168574.4515123693,1168576.6545345846,34415981.481481485
29,29,2020,0.0,1171786.6012238627,1171789.11512509,1171786.7673381737,41819322.92805349
30,30,2000,3783306.554108796,1168563.044147692,1168556.380952619,1168560.3163118726,16606113.397207825
30,30,2001,4289894.895548611,1168575.5410210397,1168576.5545029538,1168575.3594765652,9543386.182468979
30,30,2002,4100887.976141203,1168581.2485700853,1168584.0723896378,1168584.2847009155,23210659.01980103
30,30,2003,3598433.602796296,1168577.2608380553,1168586.1605415924,1168581.2990257647,41207295.76346443
30,30,2004,3282186.439203704,1171775.1796256164,1171774.0495864707,1171780.207276968,27761889.010325
30,30,2005,13196789.760768231,1168577.282514182,1168576.1144359396,1168573.9012929022,25075027.699084446
30,30,2006,15995628.689453706,1168573.4770099437,1168575.411186908,1168575.63221,33012578.703703705
30,30,2007,10673847.003002314,1168578.4238060089,1168573.2044341867,1168576.6518066938,24555951.309071615
30,30,2008,11037170.042300927,1171779.8789214373,1171778.671488506,1171775.374247419,25659353.891970847
30,30,2009,13521550.883229166,1168579.0957781097,1168583.893424658,1168581.7125204587,38575745.28531945
30,30,2010,0.0,1168581.4155607652,1168577.195172123,1168580.2669509589,27614947.26777112
30,30,2011,24234634.526503753,1168569.8003612768,1168571.3343686452,1168573.1923807417,19721141.969942052
